,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity,incentives
162,Itapagipe,503908760.15569973,0.0,0.0,128916688806.41238,94471978878.75793,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,581352397.0826056,3000000,0
163,Ituiutaba,335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
164,Itumbiara,503908760.15569973,0.0,0.0,128916688806.41238,94471978878.75793,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,581352397.0826056,3000000,0
165,Jacarezinho,503908760.15569973,0.0,0.0,128916688806.41238,94471978878.75793,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,581352397.0826056,3000000,0
166,Jalles Machado,503908760.15569973,0.0,0.0,128916688806.41238,94471978878.75793,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,581352397.0826056,3000000,0
167,Jalles Machado - Otávio Lage,335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
168,Jatiboca,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
169,Jayoro,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
170,José Granelli,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
171,Junco Novo,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
172,Lago Azul,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
173,Laguna,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
174,Lasa,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
175,Liberdade,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
176,Londra,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
177,Lopes da Silva,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
178,Luso,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
179,Maity Bioenergia,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
180,Mandacaru,335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
181,Marituba,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
182,Melhoramento Ivaí,335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
183,Miriri,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
184,Moema,839847933.592833,0.0,0.0,128916688806.41238,94471978878.75793,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,3619626.8595380946,50373.140461905394,445214.1037231856,266000.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,968920661.8043427,5000000,0
